case_id,gt_id,scene,sar_frame,pool_type,gt_quality_label,gt_scale_valid,dominant_shell_pattern,shell_parts_used,n_atoms,n_vehicle_parts,n_shell_parts,shell_long_axis_span,shell_short_axis_span,shell_to_gt_width_ratio,shell_to_gt_height_ratio,shell_to_gt_area_ratio,gt_scale_compatible,baby_car_risk,shell_physical_interpretation,vehicle_shell_supported,manual_review_needed,posthoc_only,notes
GTREF_PAIRED_GM_RM017_s327_111,111,GM_RM017,327,paired_215,good,yes,strip_plus_endpoint,body_block_or_part,7,1,0,52.763,36.876,0.3547,0.5178,0.0965,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s327_112,112,GM_RM017,327,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,100.86,21.312,0.6042,0.2987,0.0928,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s329_113,113,GM_RM017,329,paired_215,good,yes,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,53.221,29.812,0.3744,0.4144,0.1223,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s329_114,114,GM_RM017,329,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,156.715,23.137,0.9448,0.2926,0.1176,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s330_115,115,GM_RM017,330,paired_215,good,yes,strip_plus_endpoint,SHELL_0116,6,2,1,54.832,27.828,0.3343,0.4204,0.1352,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s330_116,116,GM_RM017,330,paired_215,review_low_energy,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,103.821,25.64,0.609,0.3348,0.0944,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s331_117,117,GM_RM017,331,paired_215,review_low_energy,yes,strip_plus_endpoint,SHELL_0118,6,2,1,89.281,22.254,0.5479,0.2922,0.1294,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s331_118,118,GM_RM017,331,paired_215,review_low_energy,yes,strip_plus_endpoint,SHELL_0119,6,2,1,57.047,23.304,0.3602,0.3408,0.1312,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s332_119,119,GM_RM017,332,paired_215,review_low_energy,yes,strip_plus_endpoint,SHELL_0120,6,2,1,93.285,25.978,0.597,0.3854,0.1359,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s332_120,120,GM_RM017,332,paired_215,review_low_energy,yes,strip_plus_endpoint,SHELL_0121,6,2,1,57.556,21.123,0.3643,0.3169,0.13,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s333_121,121,GM_RM017,333,paired_215,review_low_energy,yes,strip_plus_endpoint,SHELL_0122,6,2,1,92.724,26.337,0.536,0.3382,0.1345,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s333_122,122,GM_RM017,333,paired_215,review_low_energy,yes,strip_plus_endpoint,SHELL_0123,6,2,1,59.126,18.783,0.3812,0.271,0.1261,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s334_123,123,GM_RM017,334,paired_215,review_extreme_aspect,no,strip_plus_endpoint,SHELL_0124,6,2,1,95.305,24.777,0.585,0.3842,0.142,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s334_124,124,GM_RM017,334,paired_215,good,yes,strip_plus_endpoint,SHELL_0125,6,2,1,84.229,17.923,0.5326,0.2781,0.1355,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s335_125,125,GM_RM017,335,paired_215,good,yes,strip_plus_endpoint,SHELL_0126,6,2,1,86.685,19.543,0.5655,0.263,0.1398,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s335_126,126,GM_RM017,335,paired_215,review_multi_structure,yes,strip_plus_endpoint,SHELL_0127,6,2,1,97.109,25.914,0.5801,0.3352,0.1371,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s335_127,127,GM_RM017,335,paired_215,review_low_energy,yes,strip_plus_endpoint,body_block_or_part,7,1,0,50.051,18.453,0.3442,0.2681,0.0452,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s336_128,128,GM_RM017,336,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,166.443,20.334,1.0151,0.2727,0.1316,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s336_129,129,GM_RM017,336,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,131.595,19.281,0.7798,0.2583,0.1101,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s336_130,130,GM_RM017,336,paired_215,review_low_energy,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,46.921,13.865,0.3042,0.2057,0.0251,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s337_334,334,GM_RM017,337,paired_215,review_multi_structure,yes,strip_plus_endpoint,SHELL_0132,6,2,1,89.952,22.084,0.5576,0.2817,0.1419,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s337_335,335,GM_RM017,337,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,146.495,17.557,0.9694,0.2326,0.1248,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s337_135,135,GM_RM017,337,paired_215,review_multi_structure,yes,strip_plus_endpoint,body_block_or_part,7,1,0,36.666,22.98,0.2516,0.3141,0.0357,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s338_131,131,GM_RM017,338,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,135.976,20.249,0.8934,0.278,0.1154,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s338_132,132,GM_RM017,338,paired_215,review_too_small,no,strip_plus_endpoint,side_ridge_or_strip,7,1,0,134.884,17.356,0.909,0.2759,0.1268,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s338_133,133,GM_RM017,338,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,50.701,16.535,0.3228,0.2215,0.0279,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s339_134,134,GM_RM017,339,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,5,1,0,159.715,18.645,1.0175,0.2724,0.1327,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s339_136,136,GM_RM017,339,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,136.894,19.414,0.8647,0.2459,0.1184,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s339_137,137,GM_RM017,339,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,52.477,15.058,0.341,0.1967,0.0311,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s340_138,138,GM_RM017,340,paired_215,review_multi_structure,yes,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,87.441,22.393,0.5219,0.2927,0.1189,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s340_139,139,GM_RM017,340,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,75.182,19.349,0.5194,0.2958,0.0978,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s340_140,140,GM_RM017,340,paired_215,review_multi_structure,yes,no_shell,,8,0,0,0,0,0,0,0,no,yes,available components do not reach vehicle-scale shell grammar.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s341_141,141,GM_RM017,341,paired_215,good,yes,strip_plus_endpoint,SHELL_0144,6,2,1,73.881,20.636,0.4365,0.3001,0.1342,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s341_142,142,GM_RM017,341,paired_215,review_multi_structure,yes,strip_plus_endpoint,SHELL_0145,6,2,1,84.143,28.592,0.5035,0.3705,0.1395,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s341_143,143,GM_RM017,341,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,67.394,16.158,0.4573,0.2241,0.0414,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s342_144,144,GM_RM017,342,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,90.073,18.979,0.6043,0.2723,0.1021,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s342_145,145,GM_RM017,342,paired_215,good,yes,strip_plus_endpoint,SHELL_0148,6,2,1,97.964,22.131,0.6011,0.3099,0.1403,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s342_146,146,GM_RM017,342,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,51.966,16.014,0.3725,0.2158,0.032,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s343_147,147,GM_RM017,343,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,164.68,25.481,1.0161,0.3177,0.1337,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s343_148,148,GM_RM017,343,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,117.509,21.327,0.7246,0.2779,0.1152,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s343_149,149,GM_RM017,343,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,62.937,12.161,0.4363,0.1554,0.0257,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s344_150,150,GM_RM017,344,paired_215,good,yes,strip_plus_endpoint,SHELL_0153,5,2,1,104.114,26.751,0.6837,0.3754,0.1477,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s344_151,151,GM_RM017,344,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,117.913,17.774,0.7354,0.239,0.108,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s344_152,152,GM_RM017,344,paired_215,good,yes,strip_plus_endpoint,endpoint_or_edge_part,7,1,0,25.917,13.837,0.1847,0.1841,0.016,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s345_153,153,GM_RM017,345,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,121.632,17.47,0.7465,0.2425,0.1019,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s345_154,154,GM_RM017,345,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,165.655,26.618,1.0155,0.3268,0.136,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s345_155,155,GM_RM017,345,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,56.307,13.426,0.3694,0.1688,0.031,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s346_156,156,GM_RM017,346,paired_215,good,yes,side_ridge_shell,side_ridge_or_strip,7,1,0,116.627,19.117,0.744,0.2504,0.1039,uncertain,no,dominant upper_side ridge acts as body-side strip; opposite side may be weaker.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s346_157,157,GM_RM017,346,paired_215,good,yes,strip_plus_endpoint,SHELL_0160,6,2,1,100.678,28.955,0.6258,0.3632,0.1403,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s346_158,158,GM_RM017,346,paired_215,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,49.842,16.17,0.3362,0.2183,0.0286,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s347_159,159,GM_RM017,347,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,169.163,24.145,1.0124,0.3169,0.1379,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s347_160,160,GM_RM017,347,paired_215,good,yes,strip_plus_endpoint,SHELL_0163,6,2,1,78.624,17.359,0.5044,0.2463,0.1341,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s347_161,161,GM_RM017,347,paired_215,review_multi_structure,yes,strip_plus_endpoint,body_block_or_part,7,1,0,46.476,18.538,0.298,0.245,0.0345,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s348_162,162,GM_RM017,348,paired_215,good,yes,strip_plus_endpoint,SHELL_0165,6,2,1,83.816,29.476,0.5278,0.3792,0.1376,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s348_163,163,GM_RM017,348,paired_215,good,yes,strip_plus_endpoint,SHELL_0166,6,2,1,81.159,19.387,0.587,0.2517,0.1329,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s348_164,164,GM_RM017,348,paired_215,review_multi_structure,yes,strip_plus_endpoint,SHELL_0167,6,2,1,48.897,16.165,0.3363,0.2198,0.0843,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s349_165,165,GM_RM017,349,paired_215,good,yes,strip_plus_endpoint,SHELL_0168,6,2,1,77.005,21.519,0.4567,0.2731,0.1322,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s349_166,166,GM_RM017,349,paired_215,review_multi_structure,yes,strip_plus_endpoint,SHELL_0169,5,3,1,37.868,17.606,0.2452,0.223,0.0857,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s349_167,167,GM_RM017,349,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,164.192,27.497,0.9399,0.3671,0.1344,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s350_168,168,GM_RM017,350,paired_215,good,yes,strip_plus_endpoint,SHELL_0171,6,2,1,84.155,26.717,0.545,0.3188,0.1307,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s350_169,169,GM_RM017,350,paired_215,review_multi_structure,yes,strip_plus_endpoint,body_block_or_part,7,1,0,47.688,16.536,0.2804,0.2093,0.0266,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s350_170,170,GM_RM017,350,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,167.848,25.733,0.966,0.347,0.1396,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s351_171,171,GM_RM017,351,paired_215,good,yes,strip_plus_endpoint,SHELL_0174,6,2,1,63.209,28.445,0.3935,0.4004,0.1381,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s351_172,172,GM_RM017,351,paired_215,good,yes,strip_plus_endpoint,SHELL_0175,5,3,1,55.572,22.233,0.3503,0.3376,0.105,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s351_173,173,GM_RM017,351,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,163.526,24.608,0.955,0.322,0.1396,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s352_174,174,GM_RM017,352,paired_215,good,yes,strip_plus_endpoint,SHELL_0177,6,2,1,60.453,26.093,0.3926,0.3415,0.1356,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s352_175,175,GM_RM017,352,paired_215,good,yes,no_shell,,8,0,0,0,0,0,0,0,no,yes,available components do not reach vehicle-scale shell grammar.,no,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s352_176,176,GM_RM017,352,paired_215,good,yes,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,70.958,26.379,0.4298,0.3517,0.1223,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s353_177,177,GM_RM017,353,paired_215,good,yes,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,86.768,26.11,0.5492,0.3473,0.1258,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s353_178,178,GM_RM017,353,paired_215,good,yes,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,52.706,24.78,0.3363,0.3255,0.0737,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s353_179,179,GM_RM017,353,paired_215,good,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,153.89,24.123,0.944,0.3177,0.1355,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s354_180,180,GM_RM017,354,paired_215,good,yes,enclosed_shell,SHELL_0183,5,3,1,53.031,23.916,0.3503,0.317,0.1125,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_PAIRED_GM_RM017_s354_181,181,GM_RM017,354,paired_215,good,yes,strip_plus_endpoint,SHELL_0184,6,2,1,66.67,24.746,0.4063,0.3517,0.1428,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
